Date,Country,Province/Territory,Number of Applications,Total Gross Amount
10/1/2020,Canada,Newfoundland and Labrador,10850,10850
10/1/2020,Canada,Prince Edward Island,2760,2760
10/1/2020,Canada,Nova Scotia,20740,20740
10/1/2020,Canada,New Brunswick,14550,14550
10/1/2020,Canada,Quebec,168930,168930
10/1/2020,Canada,Ontario,470820,470820
10/1/2020,Canada,Manitoba,27340,27340
10/1/2020,Canada,Saskatchewan,25870,25870
10/1/2020,Canada,Alberta,127960,127960
10/1/2020,Canada,British Columbia,133980,133980
10/1/2020,Canada,Yukon,990,990
10/1/2020,Canada,Northwest Territories,1440,1440
10/1/2020,Canada,Nunavut,750,750
10/1/2020,Canada,Newfoundland and Labrador,11710,11710
10/1/2020,Canada,Prince Edward Island,2910,2910
10/1/2020,Canada,Nova Scotia,22200,22200
10/1/2020,Canada,New Brunswick,15900,15900
10/1/2020,Canada,Quebec,180410,180410
10/1/2020,Canada,Ontario,488820,488820
10/1/2020,Canada,Manitoba,30550,30550
10/1/2020,Canada,Saskatchewan,27840,27840
10/1/2020,Canada,Alberta,136300,136300
10/1/2020,Canada,British Columbia,141390,141390
10/1/2020,Canada,Yukon,1060,1060
10/1/2020,Canada,Northwest Territories,1510,1510
10/1/2020,Canada,Nunavut,830,830
11/1/2020,Canada,Newfoundland and Labrador,12010,12010
11/1/2020,Canada,Prince Edward Island,2950,2950
11/1/2020,Canada,Nova Scotia,23320,23320
11/1/2020,Canada,New Brunswick,16210,16210
11/1/2020,Canada,Quebec,185430,185430
11/1/2020,Canada,Ontario,502960,502960
11/1/2020,Canada,Manitoba,33200,33200
11/1/2020,Canada,Saskatchewan,29180,29180
11/1/2020,Canada,Alberta,142560,142560
11/1/2020,Canada,British Columbia,146520,146520
11/1/2020,Canada,Yukon,1150,1150
11/1/2020,Canada,Northwest Territories,1590,1590
11/1/2020,Canada,Nunavut,880,880
11/1/2020,Canada,Newfoundland and Labrador,12250,12250
11/1/2020,Canada,Prince Edward Island,3060,3060
11/1/2020,Canada,Nova Scotia,24210,24210
11/1/2020,Canada,New Brunswick,16710,16710
11/1/2020,Canada,Quebec,189710,189710
11/1/2020,Canada,Ontario,508930,508930
11/1/2020,Canada,Manitoba,36060,36060
11/1/2020,Canada,Saskatchewan,30350,30350
11/1/2020,Canada,Alberta,148840,148840
11/1/2020,Canada,British Columbia,150870,150870
11/1/2020,Canada,Yukon,1180,1180
11/1/2020,Canada,Northwest Territories,1610,1610
11/1/2020,Canada,Nunavut,940,940
12/1/2020,Canada,Newfoundland and Labrador,11510,11510
12/1/2020,Canada,Prince Edward Island,2950,2950
12/1/2020,Canada,Nova Scotia,23710,23710
12/1/2020,Canada,New Brunswick,15870,15870
12/1/2020,Canada,Quebec,181260,181260
12/1/2020,Canada,Ontario,490840,490840
12/1/2020,Canada,Manitoba,34150,34150
12/1/2020,Canada,Saskatchewan,28650,28650
12/1/2020,Canada,Alberta,146190,146190
12/1/2020,Canada,British Columbia,145330,145330
12/1/2020,Canada,Yukon,1050,1050
12/1/2020,Canada,Northwest Territories,1450,1450
12/1/2020,Canada,Nunavut,850,850
12/1/2020,Canada,Newfoundland and Labrador,11230,11230
12/1/2020,Canada,Prince Edward Island,2970,2970
12/1/2020,Canada,Nova Scotia,23370,23370
12/1/2020,Canada,New Brunswick,15610,15610
12/1/2020,Canada,Quebec,185840,185840
12/1/2020,Canada,Ontario,503130,503130
12/1/2020,Canada,Manitoba,34320,34320
12/1/2020,Canada,Saskatchewan,28600,28600
12/1/2020,Canada,Alberta,155240,155240
12/1/2020,Canada,British Columbia,144890,144890
12/1/2020,Canada,Yukon,1060,1060
12/1/2020,Canada,Northwest Territories,1480,1480
12/1/2020,Canada,Nunavut,850,850
1/1/2021,Canada,Newfoundland and Labrador,11610,11610
1/1/2021,Canada,Prince Edward Island,2950,2950
1/1/2021,Canada,Nova Scotia,23710,23710
1/1/2021,Canada,New Brunswick,16360,16360
1/1/2021,Canada,Quebec,220070,220070
1/1/2021,Canada,Ontario,545380,545380
1/1/2021,Canada,Manitoba,35030,35030
1/1/2021,Canada,Saskatchewan,29350,29350
1/1/2021,Canada,Alberta,162640,162640
1/1/2021,Canada,British Columbia,147230,147230
1/1/2021,Canada,Yukon,1090,1090
1/1/2021,Canada,Northwest Territories,1500,1500
1/1/2021,Canada,Nunavut,910,910
1/1/2021,Canada,Newfoundland and Labrador,11770,11770
1/1/2021,Canada,Prince Edward Island,2950,2950
1/1/2021,Canada,Nova Scotia,23160,23160
1/1/2021,Canada,New Brunswick,17050,17050
1/1/2021,Canada,Quebec,227140,227140
1/1/2021,Canada,Ontario,560760,560760
1/1/2021,Canada,Manitoba,34740,34740
1/1/2021,Canada,Saskatchewan,29220,29220
1/1/2021,Canada,Alberta,160240,160240
1/1/2021,Canada,British Columbia,147330,147330
1/1/2021,Canada,Yukon,1090,1090
1/1/2021,Canada,Northwest Territories,1520,1520
1/1/2021,Canada,Nunavut,920,920
1/1/2021,Canada,Newfoundland and Labrador,12310,12310
1/1/2021,Canada,Prince Edward Island,2970,2970
1/1/2021,Canada,Nova Scotia,23150,23150
1/1/2021,Canada,New Brunswick,17960,17960
1/1/2021,Canada,Quebec,224960,224960
1/1/2021,Canada,Ontario,569560,569560
1/1/2021,Canada,Manitoba,34250,34250
1/1/2021,Canada,Saskatchewan,29860,29860
1/1/2021,Canada,Alberta,157370,157370
1/1/2021,Canada,British Columbia,149210,149210
1/1/2021,Canada,Yukon,1130,1130
1/1/2021,Canada,Northwest Territories,1570,1570
1/1/2021,Canada,Nunavut,940,940
2/1/2021,Canada,Newfoundland and Labrador,13260,13260
2/1/2021,Canada,Prince Edward Island,3030,3030
2/1/2021,Canada,Nova Scotia,23310,23310
2/1/2021,Canada,New Brunswick,17470,17470
2/1/2021,Canada,Quebec,209980,209980
2/1/2021,Canada,Ontario,568970,568970
2/1/2021,Canada,Manitoba,33390,33390
2/1/2021,Canada,Saskatchewan,30010,30010
2/1/2021,Canada,Alberta,156110,156110
2/1/2021,Canada,British Columbia,150480,150480
2/1/2021,Canada,Yukon,1130,1130
2/1/2021,Canada,Northwest Territories,1550,1550
2/1/2021,Canada,Nunavut,950,950
2/1/2021,Canada,Newfoundland and Labrador,14710,14710
2/1/2021,Canada,Prince Edward Island,3040,3040
2/1/2021,Canada,Nova Scotia,23360,23360
2/1/2021,Canada,New Brunswick,17050,17050
2/1/2021,Canada,Quebec,198090,198090
2/1/2021,Canada,Ontario,554070,554070
2/1/2021,Canada,Manitoba,32620,32620
2/1/2021,Canada,Saskatchewan,30190,30190
2/1/2021,Canada,Alberta,154300,154300
2/1/2021,Canada,British Columbia,150310,150310
2/1/2021,Canada,Yukon,1110,1110
2/1/2021,Canada,Northwest Territories,1550,1550
2/1/2021,Canada,Nunavut,930,930
3/1/2021,Canada,Newfoundland and Labrador,13830,13830
3/1/2021,Canada,Prince Edward Island,2970,2970
3/1/2021,Canada,Nova Scotia,22910,22910
3/1/2021,Canada,New Brunswick,16340,16340
3/1/2021,Canada,Quebec,190990,190990
3/1/2021,Canada,Ontario,543390,543390
3/1/2021,Canada,Manitoba,31460,31460
3/1/2021,Canada,Saskatchewan,29540,29540
3/1/2021,Canada,Alberta,150930,150930
3/1/2021,Canada,British Columbia,148440,148440
3/1/2021,Canada,Yukon,1100,1100
3/1/2021,Canada,Northwest Territories,1490,1490
3/1/2021,Canada,Nunavut,910,910
3/1/2021,Canada,Newfoundland and Labrador,12380,12380
3/1/2021,Canada,Prince Edward Island,2830,2830
3/1/2021,Canada,Nova Scotia,22270,22270
3/1/2021,Canada,New Brunswick,15450,15450
3/1/2021,Canada,Quebec,183300,183300
3/1/2021,Canada,Ontario,543260,543260
3/1/2021,Canada,Manitoba,30880,30880
3/1/2021,Canada,Saskatchewan,29180,29180
3/1/2021,Canada,Alberta,149030,149030
3/1/2021,Canada,British Columbia,147780,147780
3/1/2021,Canada,Yukon,1050,1050
3/1/2021,Canada,Northwest Territories,1450,1450
3/1/2021,Canada,Nunavut,870,870
4/1/2021,Canada,Newfoundland and Labrador,11960,11960
4/1/2021,Canada,Prince Edward Island,2790,2790
4/1/2021,Canada,Nova Scotia,22890,22890
4/1/2021,Canada,New Brunswick,15540,15540
4/1/2021,Canada,Quebec,185660,185660
4/1/2021,Canada,Ontario,564060,564060
4/1/2021,Canada,Manitoba,30990,30990
4/1/2021,Canada,Saskatchewan,29510,29510
4/1/2021,Canada,Alberta,150270,150270
4/1/2021,Canada,British Columbia,150780,150780
4/1/2021,Canada,Yukon,1060,1060
4/1/2021,Canada,Northwest Territories,1480,1480
4/1/2021,Canada,Nunavut,950,950
4/1/2021,Canada,Newfoundland and Labrador,11770,11770
4/1/2021,Canada,Prince Edward Island,2770,2770
4/1/2021,Canada,Nova Scotia,24720,24720
4/1/2021,Canada,New Brunswick,15350,15350
4/1/2021,Canada,Quebec,184520,184520
4/1/2021,Canada,Ontario,573410,573410
4/1/2021,Canada,Manitoba,31230,31230
4/1/2021,Canada,Saskatchewan,29320,29320
4/1/2021,Canada,Alberta,152020,152020
4/1/2021,Canada,British Columbia,150460,150460
4/1/2021,Canada,Yukon,1050,1050
4/1/2021,Canada,Northwest Territories,1500,1500
4/1/2021,Canada,Nunavut,980,980
5/1/2021,Canada,Newfoundland and Labrador,11350,11350
5/1/2021,Canada,Prince Edward Island,2680,2680
5/1/2021,Canada,Nova Scotia,28380,28380
5/1/2021,Canada,New Brunswick,15020,15020
5/1/2021,Canada,Quebec,179820,179820
5/1/2021,Canada,Ontario,567510,567510
5/1/2021,Canada,Manitoba,31290,31290
5/1/2021,Canada,Saskatchewan,28530,28530
5/1/2021,Canada,Alberta,151220,151220
5/1/2021,Canada,British Columbia,148230,148230
5/1/2021,Canada,Yukon,1030,1030
5/1/2021,Canada,Northwest Territories,1490,1490
5/1/2021,Canada,Nunavut,960,960
5/1/2021,Canada,Newfoundland and Labrador,10710,10710
5/1/2021,Canada,Prince Edward Island,2580,2580
5/1/2021,Canada,Nova Scotia,27060,27060
5/1/2021,Canada,New Brunswick,14190,14190
5/1/2021,Canada,Quebec,165910,165910
5/1/2021,Canada,Ontario,552260,552260
5/1/2021,Canada,Manitoba,31420,31420
5/1/2021,Canada,Saskatchewan,26790,26790
5/1/2021,Canada,Alberta,148920,148920
5/1/2021,Canada,British Columbia,143580,143580
5/1/2021,Canada,Yukon,980,980
5/1/2021,Canada,Northwest Territories,1390,1390
5/1/2021,Canada,Nunavut,920,920
6/1/2021,Canada,Newfoundland and Labrador,10500,10500
6/1/2021,Canada,Prince Edward Island,2520,2520
6/1/2021,Canada,Nova Scotia,25520,25520
6/1/2021,Canada,New Brunswick,13950,13950
6/1/2021,Canada,Quebec,159380,159380
6/1/2021,Canada,Ontario,540310,540310
6/1/2021,Canada,Manitoba,31270,31270
6/1/2021,Canada,Saskatchewan,26170,26170
6/1/2021,Canada,Alberta,144200,144200
6/1/2021,Canada,British Columbia,139070,139070
6/1/2021,Canada,Yukon,960,960
6/1/2021,Canada,Northwest Territories,1370,1370
6/1/2021,Canada,Nunavut,960,960
6/1/2021,Canada,Newfoundland and Labrador,10010,10010
6/1/2021,Canada,Prince Edward Island,2430,2430
6/1/2021,Canada,Nova Scotia,22580,22580
6/1/2021,Canada,New Brunswick,13480,13480
6/1/2021,Canada,Quebec,153340,153340
6/1/2021,Canada,Ontario,520560,520560
6/1/2021,Canada,Manitoba,30330,30330
6/1/2021,Canada,Saskatchewan,25500,25500
6/1/2021,Canada,Alberta,136260,136260
6/1/2021,Canada,British Columbia,135190,135190
6/1/2021,Canada,Yukon,950,950
6/1/2021,Canada,Northwest Territories,1290,1290
6/1/2021,Canada,Nunavut,950,950
7/1/2021,Canada,Newfoundland and Labrador,9520,9520
7/1/2021,Canada,Prince Edward Island,2320,2320
7/1/2021,Canada,Nova Scotia,20990,20990
7/1/2021,Canada,New Brunswick,13020,13020
7/1/2021,Canada,Quebec,147030,147030
7/1/2021,Canada,Ontario,494840,494840
7/1/2021,Canada,Manitoba,28700,28700
7/1/2021,Canada,Saskatchewan,24760,24760
7/1/2021,Canada,Alberta,129990,129990
7/1/2021,Canada,British Columbia,129880,129880
7/1/2021,Canada,Yukon,910,910
7/1/2021,Canada,Northwest Territories,1240,1240
7/1/2021,Canada,Nunavut,940,940
7/1/2021,Canada,Newfoundland and Labrador,9220,9220
7/1/2021,Canada,Prince Edward Island,2230,2230
7/1/2021,Canada,Nova Scotia,20180,20180
7/1/2021,Canada,New Brunswick,12650,12650
7/1/2021,Canada,Quebec,142640,142640
7/1/2021,Canada,Ontario,466090,466090
7/1/2021,Canada,Manitoba,27020,27020
7/1/2021,Canada,Saskatchewan,23990,23990
7/1/2021,Canada,Alberta,124860,124860
7/1/2021,Canada,British Columbia,125330,125330
7/1/2021,Canada,Yukon,870,870
7/1/2021,Canada,Northwest Territories,1190,1190
7/1/2021,Canada,Nunavut,940,940
7/1/2021,Canada,Newfoundland and Labrador,8600,7110
7/1/2021,Canada,Prince Edward Island,2070,1710
7/1/2021,Canada,Nova Scotia,18970,16000
7/1/2021,Canada,New Brunswick,12030,10000
7/1/2021,Canada,Quebec,136400,114400
7/1/2021,Canada,Ontario,440000,369180
7/1/2021,Canada,Manitoba,25830,22380
7/1/2021,Canada,Saskatchewan,22920,19840
7/1/2021,Canada,Alberta,117590,100200
7/1/2021,Canada,British Columbia,118710,99950
7/1/2021,Canada,Yukon,810,720
7/1/2021,Canada,Northwest Territories,1180,1040
7/1/2021,Canada,Nunavut,930,860
8/1/2021,Canada,Newfoundland and Labrador,7730,6070
8/1/2021,Canada,Prince Edward Island,1840,1440
8/1/2021,Canada,Nova Scotia,16910,13620
8/1/2021,Canada,New Brunswick,10850,8550
8/1/2021,Canada,Quebec,119250,94600
8/1/2021,Canada,Ontario,377040,300100
8/1/2021,Canada,Manitoba,22390,18390
8/1/2021,Canada,Saskatchewan,20100,16470
8/1/2021,Canada,Alberta,101720,82190
8/1/2021,Canada,British Columbia,100820,80420
8/1/2021,Canada,Yukon,690,580
8/1/2021,Canada,Northwest Territories,1020,860
8/1/2021,Canada,Nunavut,750,670
,,,,
 ,,,,
